t,v
7.43e-05,-0.690699
7.44e-05,-0.692002
7.45e-05,-0.693304
7.46e-05,-0.694606
7.47e-05,-0.695907
7.48e-05,-0.697208
7.49e-05,-0.698508
7.5e-05,-0.699808
7.51e-05,-0.701107
7.52e-05,-0.702406
7.53e-05,-0.703704
7.54e-05,-0.705002
7.55e-05,-0.706299
7.56e-05,-0.707596
7.57e-05,-0.708892
7.58e-05,-0.710188
7.59e-05,-0.711483
7.6e-05,-0.712778
7.61e-05,-0.714072
7.62e-05,-0.715365
7.63e-05,-0.716658
7.64e-05,-0.717951
7.65e-05,-0.719242
7.66e-05,-0.720534
7.67e-05,-0.721824
7.68e-05,-0.723115
7.69e-05,-0.724404
7.7e-05,-0.725693
7.71e-05,-0.726981
7.72e-05,-0.728269
7.73e-05,-0.729556
7.74e-05,-0.730843
7.75e-05,-0.732129
7.76e-05,-0.733414
7.77e-05,-0.734699
7.78e-05,-0.735983
7.79e-05,-0.737267
7.8e-05,-0.73855
7.81e-05,-0.739832
7.82e-05,-0.741114
7.83e-05,-0.742395
7.84e-05,-0.743675
7.85e-05,-0.744955
7.86e-05,-0.746234
7.87e-05,-0.747512
7.88e-05,-0.748789
7.89e-05,-0.750066
7.9e-05,-0.751343
7.91e-05,-0.752618
7.92e-05,-0.753893
7.93e-05,-0.755168
7.94e-05,-0.756441
7.95e-05,-0.757714
7.96e-05,-0.758986
7.97e-05,-0.760258
7.98e-05,-0.761528
7.99e-05,-0.762798
8e-05,-0.764068
8.01e-05,-0.765336
8.02e-05,-0.766604
8.03e-05,-0.767871
8.04e-05,-0.769138
8.05e-05,-0.770403
8.06e-05,-0.771668
8.07e-05,-0.772932
8.08e-05,-0.774195
8.09e-05,-0.775458
8.1e-05,-0.77672
8.11e-05,-0.777981
8.12e-05,-0.779241
8.13e-05,-0.780501
8.14e-05,-0.781759
8.15e-05,-0.783017
8.16e-05,-0.784274
8.17e-05,-0.785531
8.18e-05,-0.786786
8.19e-05,-0.788041
8.2e-05,-0.789295
8.21e-05,-0.790548
8.22e-05,-0.7918
8.23e-05,-0.793052
8.24e-05,-0.794302
8.25e-05,-0.795552
8.26e-05,-0.796801
8.27e-05,-0.798049
8.28e-05,-0.799297
8.29e-05,-0.800543
8.3e-05,-0.801789
8.31e-05,-0.803033
8.32e-05,-0.804277
8.33e-05,-0.80552
8.34e-05,-0.806762
8.35e-05,-0.808004
8.36e-05,-0.809244
8.37e-05,-0.810483
8.38e-05,-0.811722
8.39e-05,-0.81296
8.4e-05,-0.814197
8.41e-05,-0.815432
8.42e-05,-0.816668
8.43e-05,-0.817902
8.44e-05,-0.819135
8.45e-05,-0.820367
8.46e-05,-0.821598
8.47e-05,-0.822829
8.48e-05,-0.824058
8.49e-05,-0.825287
8.5e-05,-0.826515
8.51e-05,-0.827741
8.52e-05,-0.828967
8.53e-05,-0.830192
8.54e-05,-0.831416
8.55e-05,-0.832639
8.56e-05,-0.833861
8.57e-05,-0.835082
8.58e-05,-0.836302
8.59e-05,-0.837521
8.6e-05,-0.838739
8.61e-05,-0.839956
8.62e-05,-0.841172
8.63e-05,-0.842387
8.64e-05,-0.843601
8.65e-05,-0.844814
8.66e-05,-0.846027
8.67e-05,-0.847238
8.68e-05,-0.848448
8.69e-05,-0.849657
8.7e-05,-0.850865
8.71e-05,-0.852072
8.72e-05,-0.853278
8.73e-05,-0.854483
8.74e-05,-0.855687
8.75e-05,-0.85689
8.76e-05,-0.858092
8.77e-05,-0.859293
8.78e-05,-0.860493
8.79e-05,-0.861692
8.8e-05,-0.86289
8.81e-05,-0.864086
8.82e-05,-0.865282
8.83e-05,-0.866476
8.84e-05,-0.86767
8.85e-05,-0.868862
8.86e-05,-0.870054
8.87e-05,-0.871244
8.88e-05,-0.872433
8.89e-05,-0.873621
8.9e-05,-0.874808
8.91e-05,-0.875994
8.92e-05,-0.877179
8.93e-05,-0.878363
8.94e-05,-0.879545
8.95e-05,-0.880727
8.96e-05,-0.881907
8.97e-05,-0.883087
8.98e-05,-0.884265
8.99e-05,-0.885442
9e-05,-0.886618
9.01e-05,-0.887793
9.02e-05,-0.888966
9.03e-05,-0.890139
9.04e-05,-0.89131
9.05e-05,-0.89248
9.06e-05,-0.893649
9.07e-05,-0.894817
9.08e-05,-0.895984
9.09e-05,-0.89715
9.1e-05,-0.898314
9.11e-05,-0.899478
9.12e-05,-0.90064
9.13e-05,-0.901801
9.14e-05,-0.90296
9.15e-05,-0.904119
9.16e-05,-0.905276
9.17e-05,-0.906433
9.18e-05,-0.907588
9.19e-05,-0.908742
9.2e-05,-0.909894
9.21e-05,-0.911046
9.22e-05,-0.912196
9.23e-05,-0.913345
9.24e-05,-0.914493
9.25e-05,-0.915639
9.26e-05,-0.916785
9.27e-05,-0.917929
9.28e-05,-0.919072
9.29e-05,-0.920214
9.3e-05,-0.921354
9.31e-05,-0.922493
9.32e-05,-0.923631
9.33e-05,-0.924768
9.34e-05,-0.925904
9.35e-05,-0.927038
9.36e-05,-0.928171
9.37e-05,-0.929303
9.38e-05,-0.930433
9.39e-05,-0.931563
9.4e-05,-0.932691
9.41e-05,-0.933817
9.42e-05,-0.934943
9.43e-05,-0.936067
9.44e-05,-0.93719
9.45e-05,-0.938312
9.46e-05,-0.939432
9.47e-05,-0.940551
9.48e-05,-0.941669
9.49e-05,-0.942785
9.5e-05,-0.943901
9.51e-05,-0.945015
9.52e-05,-0.946127
9.53e-05,-0.947239
9.54e-05,-0.948349
9.55e-05,-0.949457
9.56e-05,-0.950565
9.57e-05,-0.951671
9.58e-05,-0.952775
9.59e-05,-0.953879
9.6e-05,-0.954981
9.61e-05,-0.956082
9.62e-05,-0.957181
9.63e-05,-0.958279
9.64e-05,-0.959376
9.65e-05,-0.960471
9.66e-05,-0.961565
9.67e-05,-0.962658
9.68e-05,-0.96375
9.69e-05,-0.96484
9.7e-05,-0.965928
9.71e-05,-0.967016
9.72e-05,-0.968101
9.73e-05,-0.969186
9.74e-05,-0.970269
9.75e-05,-0.971351
